DTXSID,true_chemname
DTXSID4026139,Thiocarbanilide
DTXSID5041221,Dipotassium citrate
DTXSID70905457,"Dipotassium (ethane-1,2-diyldisulfanediyl)bis(iminomethanethiolate)"
DTXSID2041200,"N,N'-Disalicylidene-1,2-diaminopropane"
DTXSID5049574,Di-sec-butylphenol
DTXSID0027480,"Disodium 4,4'-isopropylidenediphenolate"
DTXSID40890048,"Benzenesulfonic acid, oxybis[hexadecyl-, sodium salt (1:2)"
DTXSID5044237,Disodium isodecyl sulfosuccinate
DTXSID90947516,Disodium 4-stearyl sulfosuccinate
DTXSID10894659,"Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(nonylphenoxy)-, sodium salt (1:2)"
DTXSID2061513,Dioctadecyl adipate
DTXSID40194290,"N,N-Dioctadecylcarbamoyl chloride"
DTXSID5044992,"2,5-Bis(2-methylbutan-2-yl)benzene-1,4-diol"
DTXSID1041502,"3-Methyl-4,6-di-tert-butylphenol"
DTXSID0029262,"2,6-Di-tert-butyl-4-ethylphenol"
DTXSID8041248,"2,5-Di-tert-butylbenzene-1,4-diol"
DTXSID7062582,"[1,1'-Biphenyl]-4-ol, 3,5-bis(1,1-dimethylethyl)-"
DTXSID8026698,"4,4'-Dithiodimorpholine"
DTXSID0059112,"1,2-Ethanediamine, N,N'-bis(2-methylphenyl)-"
DTXSID2026606,"1,3-Di-o-tolylguanidine"
DTXSID80893417,"1,3-Di-o-tolylguanidinium dipyrocatechol borate"
DTXSID4042171,4-Dodecylmorpholine
DTXSID1027926,Dodecylphenol
DTXSID10864998,Monolauryl phthalate
DTXSID80987360,"1,6-Hexanediamine, N-(6-aminohexyl)-, polymer with (chloromethyl)oxirane"
DTXSID50864013,"2-{[([1,1'-Biphenyl]-2-yl)oxy]methyl}oxirane"
DTXSID1044643,Glycidyl trimethylammonium chloride
DTXSID0052887,Epoxy resins
DTXSID90866879,8-(3-Octyloxiran-2-yl)octanoic acid
DTXSID90888576,"Ethanamine, 2-[[2,4,8,10-tetrakis(1,1-dimethylethyl)dibenzo[d,f][1,3,2]dioxaphosphepin-6-yl]oxy]-N,N-bis[2-[[2,4,8,10-tetrakis(1,1-dimethylethyl)dibenzo[d,f][1,3,2]dioxaphosphepin-6-yl]oxy]ethyl]-"
DTXSID101011754,"Octadecanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol and urea"
DTXSID501012330,"Octadecanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol and urea, acetates (salts)"
DTXSID4051744,"4,4'-Bis(2-benzoxazolyl)stilbene"
DTXSID201012212,"Butanedioic acid, 2-methylene-, polymer with ethyl 2-propenoate and methyl 2-methyl-2-propenoate"
DTXSID70891907,Methacrylic acid - methyl methacrylate copolymer (1:1 mw 135000)
DTXSID4097334,"Amides, tall-oil fatty, N,N'-ethylenebis-"
DTXSID6094069,"Ethene, polymer with carbon monoxide"
DTXSID1025433,3-Hydroxypropanenitrile
DTXSID4094164,"1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester, polymer with 1,4-cyclohexanedimethanol and 1,2-ethanediol"
DTXSID9044615,Ethylene acrylate
DTXSID5027433,"N-[3-(Trimethoxysilyl)propyl]ethane-1,2-diamine"
DTXSID0059374,(2-Aminoethyl)carbamic acid
DTXSID601014608,"1,?2-?Ethanediamine, sulfate (1:x)"
DTXSID60181400,2-Aminoimidazoline hydrochloride
DTXSID401009720,"2-Propenoic acid, methyl ester, polymer with ethene"
DTXSID001011670,"4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-, polymer with ethene and 1-propene"
DTXSID10894856,2-Ethylhexanoate
DTXSID3027293,2-Ethylhexyl 2-methyl-2-propenoate
DTXSID3027740,2-Ethylhexyl phosphate (mixed isomers)
DTXSID80894828,"Cellulose, ethyl 2-hydroxyethyl ether"
DTXSID6073075,"12H-Dibenzo[d,g][1,3,2]dioxaphosphocin, 2,4,8,10-tetrakis(1,1-dimethylethyl)-6-fluoro-12-methyl-"
DTXSID10971838,Ethyl 2-methylprop-2-enoate--ethyl prop-2-enoate (1/1)
DTXSID70951252,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-methyl-2-propenoate"
DTXSID90949419,Ethyl 2-methylprop-2-enoate--methyl prop-2-enoate (1/1)
DTXSID3024100,Ethyl phthalyl ethyl glycolate
DTXSID3029609,"Ethene, ethoxy-"
DTXSID5073244,"Cyclohexene, 1-ethynyl-"
DTXSID3029863,"Fatty acids, tall-oil, 2-mercaptoethyl esters, reaction products with dichlorodimethylstannane, sodium sulfide (Na2S) and trichloromethylstannane"
DTXSID8028890,"Fatty acids, C18-unsatd., trimers"
DTXSID9096317,"Fatty acids, vegetable-oil, calcium salts"
DTXSID5095096,"Fatty acids, vegetable-oil, potassium salts"
DTXSID5028378,"Fatty acids, vegetable-oil, sodium salts"
DTXSID4041028,Ferrous ammonium sulfate
DTXSID2097302,"Fatty acids, fish-oil, hydrogenated, potassium salts"
DTXSID70100122,"Fatty acids, fish-oil, Me esters"
DTXSID9028413,"Fats and Glyceridic oils, fish, oxidized"
DTXSID40158195,2-Methylbenzenesulfonamide formaldehyde
DTXSID00109204,Glass fibers
DTXSID40894389,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris[.omega.-hydroxy-"
DTXSID101014572,Glyceryl lactostearate
DTXSID8021145,Phenyl glycidyl ether
DTXSID0041305,2-(4-Hydroxyphenyl)glyoxylohydroximoyl chloride
DTXSID90175473,Heptatriacontan-19-one
DTXSID2059726,Hexamethylenediamine carbamate
DTXSID1027265,"1,6-Hexanediol"
DTXSID7058626,18-Crown-6
DTXSID201016721,dihexyl (2Z)-but-2-enedioate
DTXSID10105333,"Distillates (petroleum), heavy thermal cracked, polymd., hydrogenated"
DTXSID101011223,"2-Propenenitrile, polymer with 1,3-butadiene, hydrogenated"
DTXSID10394962,Hydrogen phosphate
DTXSID10184906,"Ethanol, 2-(ethenylthio)-"
DTXSID2025424,Hydroxylamine sulfate (2:1)
DTXSID30777172,2-[2-(2-Hydroxyphenyl)-2-oxoethoxy]benzoic acid
DTXSID9034288,"5-Hydroxymethoxymethyl-1-aza-3,7-dioxabicyclo(3.3.0)octane"
DTXSID6044777,2-Hydroxy-1-[4-(2-hydroxyethoxy)phenyl]-2-methylpropan-1-one
DTXSID1034218,"1H,3H,5H,-Oxazolo(3,4-c)oxazole, poly(oxymethylene) deriv."
DTXSID8027878,Hydroxypropyl acrylate
DTXSID50861764,"2-Propanol, 1-[(2-aminoethyl)amino]-"
DTXSID1029629,2-Hydroxypropyl 2-methylacrylate
DTXSID6029547,"Imidazolium compounds, 2-(C17 and C17-unsatd. alkyl)-1-[2-(C18 and C18-unsatd. amido)ethyl]-4,5-dihydro-1-methyl, Me sulfates"
DTXSID00196098,Sym-homospermidine
DTXSID0025440,Norspermidine
DTXSID30904300,"Hexanoic acid, 2-ethyl-, iron salt (1:?)"
DTXSID60917084,Iron(2+) bis(8-methylnonanoate)
DTXSID30966145,Iron(2+) bis(2-ethyl-2-methylheptanoate)
DTXSID90965634,Octadecanoic acid--iron (1/1)
DTXSID9027653,Isobornyl methacrylate
DTXSID101011697,"Benzene, diethenyl-, polymer with 2-methyl-1,3-butadiene and 2-methyl-1-propene"
DTXSID6061286,Isobutyl hydrogen maleate
DTXSID9064899,"9-Octadecenoic acid (9Z)-, 2-methylpropyl ester"
DTXSID8064808,"9-Octadecenoic acid (9Z)-, 2-methylpropyl ester, compd. with sulfuric acid"
DTXSID901009656,"Cyclohexane, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethyl-, homopolymer"
DTXSID2044634,Isooctanol
DTXSID3026641,"1,3-Benzenedicarbonyl dichloride"
DTXSID2038813,"1,3-Benzenedicarboxylic acid, dihydrazide"
DTXSID2020763,4-Isopropoxydiphenylamine
DTXSID4060997,Isopropyl acrylate
DTXSID5061667,"Phenol, 3-methyl(1-methylethyl)-"
DTXSID001013307,"Oxirane, 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis-, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl)"
DTXSID801011424,"Carbonic dichloride, polymer with 4,4'-(1-methylethylidene)bis[phenol]"
DTXSID6022218,Isopropyl methacrylate
DTXSID9059412,"9-Octadecenoic acid (9Z)-, 1-methylethyl ester"
DTXSID5027853,(1-Methylethyl)-phenol
DTXSID1095111,"Glycerides, lard di-"
DTXSID5057599,Lard fatty acids
DTXSID90102204,"Glycerides, mixed lard and tallow mono- and di-"
DTXSID101010037,Lard monoglycerides
DTXSID1059319,"Peroxide, bis(1-oxododecyl)"
DTXSID7042011,N-Dodecanoyl-N-methylglycine
DTXSID40183144,Dilauryl peroxide
DTXSID4061098,"Dodecane, 1-(ethenyloxy)-"
DTXSID5027699,Ligroine
DTXSID4042098,Linoleamide
DTXSID5099103,"Linseed oil, Bu ester"
DTXSID5095595,"Linseed oil, polymd., oxidized"
DTXSID6028785,"Linseed oil, ester with pentaerythritol"
DTXSID10174246,Lithium decanoate
DTXSID30908580,Lithium iodide
DTXSID5095094,"Naphthenic acids, lithium salts"
DTXSID1042100,Lithium neodecanoate
DTXSID10884919,"Octanoic acid, lithium salt (1:1)"
DTXSID101014677,Lithium oleate
DTXSID00885137,"Hexadecanoic acid, lithium salt (1:1)"
DTXSID9093989,"Silicic acid, lithium salt"
DTXSID00893257,Lithium ricinoleate
DTXSID2029666,Lithium octadecanoate
DTXSID601015151,Trimagnesium dicitrate
DTXSID00890761,"Hexanoic acid, 2-ethyl-, magnesium salt (2:1)"
DTXSID40891873,Magnesium lauryl sulfate
DTXSID00715425,PUBCHEM_54611860
DTXSID101010994,"Naphthenic acids, magnesium salts"
DTXSID90972929,Magnesium bis(2-ethyl-2-methylheptanoate)
DTXSID00872522,Magnesium hydrogenorthophosphate
DTXSID40904356,Magnesium ricinoleate
DTXSID00889392,Magnesium disalicylate
DTXSID3094705,"2,5-Furandione, polymer with 2,4,4-trimethylpentene"
DTXSID50891920,"Maleic anhydride 2,4,4-trimethylpentene polymer sodium salt"
DTXSID301011017,"Octanoic acid, manganese salt (1:?)"
DTXSID8029311,Manganese 2-ethylhexanoate
DTXSID40895093,"Naphthenic acids, manganese salts"
DTXSID4051950,Manganese neodecanoate
DTXSID1093753,"Fatty acids, tall-oil, manganese salts"
DTXSID20157505,"Formamide, N-(4,6-diamino-1,3,5-triazin-2-yl)-"
DTXSID401011391,"1,3,5-Triazine-2,4,6-triamine, polymer with formaldehyde, methylated"
DTXSID9042120,Menazon
DTXSID4025533,p-Menthane hydroperoxide
DTXSID3071852,2-Mercaptoethyl decanoate
DTXSID0069204,2-Mercaptoethyl octanoate
DTXSID8029440,"Fatty acids, tall-oil, 2-mercaptoethyl esters"
DTXSID8029600,Methacrylamide
DTXSID70181153,Eudragits
DTXSID1024176,Methacrylonitrile
DTXSID60143260,Methacryloxyacetic acid
DTXSID3027588,"1,1-Methylenebis(4-isocyanatocyclohexane)"
DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)"
DTXSID7038864,"2,2'-Methylenebis(ethyl-6-tert-butylphenol)"
DTXSID6022422,"4,4'-Diaminobiphenyl methane"
DTXSID5047453,Dipiperidinomethane
DTXSID7026605,Methyl alpha-D-glucopyranoside
DTXSID30894454,"Siloxanes and Silicones, Me hydrogen"
DTXSID70897186,2-Methyl-4-isothiazolin-3-one calcium chloride
DTXSID4040765,Dimethyl maleate
DTXSID6027509,Methyl 3-mercaptopropionate
DTXSID6094140,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-propenoic acid"
DTXSID20895096,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate"
DTXSID301012415,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-ethylhexyl 2-propenoate and 2-propenoic acid"
DTXSID701009662,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with methyl 2-propenoate"
DTXSID3020885,N-Methylolacrylamide
DTXSID2027335,"2-Propenamide, N-(hydroxymethyl)-2-methyl-"
DTXSID60883437,C.I. Acid Orange 52
DTXSID3061001,4-Methyl-1-pentene
DTXSID501009759,"Siloxanes and Silicones, Me Ph"
DTXSID50436133,3-(Methylamino)propan-1-ol
DTXSID40904972,"Benzene, ethenyl-, polymer with (1-methylethenyl)benzene"
DTXSID3020889,4-Methylstyrene
DTXSID30883287,2-[Methyl[(9Z)-1-oxo-9-octadecen-1-yl]amino]ethanesulfonic acid
DTXSID401010931,"Cyclosiloxanes, Me vinyl"
DTXSID5024396,Acetin
DTXSID2027337,Butyl hydrogen maleate
DTXSID90897446,"2-?Butenedioic acid (2Z)?-?, 1-?(2-?ethylhexyl) ester"
DTXSID60892145,Ethyl maleate
DTXSID50884251,"Octadecanoic acid, compd. with 1-amino-2-propanol (1:1)"
DTXSID80273977,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:1)"
DTXSID7070478,"Glycine, N-(2-hydroxyethyl)-N-octadecyl-, monosodium salt"
DTXSID00430762,TRIS(3-HYDROXYPROPYL)AMINE
DTXSID5095098,"Oils, mustard, sulfated, sodium salts"
DTXSID60893258,Tetrachloro-mu-hydroxy[mu-(tetradecanoato-kappaO:kappaO')]dichromium
DTXSID50863203,"2-Butanol, 4-(1-naphthalenylimino)-"
DTXSID10873848,Naphthalenesulfonic acid
DTXSID6029709,"Naphthalenesulfonic acid, polymer with formaldehyde, sodium salt"
DTXSID5027061,2-Naphthalenol
DTXSID7020920,1-Naphthylamine
DTXSID5029685,Nitric acid
DTXSID8029232,Pentasodium nitrilotris(methylenephosphonate)
DTXSID9025746,"2-Nitro-1,1'-biphenyl"
DTXSID9041522,4-Nitrobiphenyl
DTXSID6020981,2-Nitropropane
DTXSID0025789,beta-Nitrostyrene
DTXSID80953641,Polyethylene glycol mono(p-nonylphenyl) ether ammonium sulfate
DTXSID0057592,Nylon
DTXSID3040803,Nylon 12
DTXSID6049694,Policapram (Nylon 6)
DTXSID6027973,"Poly[imino(1,6-dioxo-1,6-hexanediyl)imino-1,6-hexanediyl]"
DTXSID601011628,"Hexanedioic acid, polymer with hexahydro-2H-azepin-2-one and 1,6-hexanediamine"
DTXSID5094288,"Decanedioic acid, polymer with 1,6-hexanediamine and hexanedioic acid"
DTXSID4094114,"Azacyclotridecan-2-one, polymer with hexahydro-2H-azepin-2-one"
DTXSID8027533,"Hexanedioic acid, compd. with 1,6-hexanediamine (1:1)"
DTXSID901012744,"1,3-Benzenedicarboxylic acid, polymer with azacyclotridecan-2-one and 4,4'-methylenebis[2-methylcyclohexanamine]"
DTXSID901012213,"Decanedioic acid, polymer with hexahydro-2H-azepin-2-one, 1,6-hexanediamine and hexanedioic acid"
DTXSID80866267,2-[(2-Hydroxyethyl)(octadecyl)amino]ethyl octadecanoate
DTXSID6027975,Stearyl methacrylate
DTXSID8044624,Octyl prop-2-enoate
DTXSID1027508,"2-Butenedioic acid (2Z)-, dioctyl ester"
DTXSID6025806,Octyl methacrylate
DTXSID501011237,"Formaldehyde, polymer with (1,1,3,3-tetramethylbutyl)phenol"
DTXSID70988427,9-(Sulfooxy)octadecanoic acid--ammonia (1/1)
DTXSID20988038,Potassium 9-(sulfooxy)octadecanoate
DTXSID601011216,"Octadecanoic acid, 9(or 10)-(sulfooxy)-, sodium salt (1:?)"
DTXSID20275819,Oleyl palmitamide
DTXSID2068478,2-(3-Oxazolidinyl)ethyl methacrylate
DTXSID50106602,"Amines, bis(hydrogenated tallow alkyl), oxidized"
DTXSID7026499,"4,4'-Oxybis(benzenesulfohydrazide)"
DTXSID8044707,Palmitamide
DTXSID5061586,Hexadecyl stearate
DTXSID1028655,"Palm oil, hydrogenated"
DTXSID101010932,"Peanut oil, hydrogenated"
DTXSID9095135,"Peanut oil, sulfated, sodium salt"
DTXSID10891305,"Glycols, polyethylene, dibenzoate"
DTXSID80890486,"Dodecanoic acid, oxydi-2,1-ethanediyl ester"
DTXSID901011639,"Poly(oxy-1,2-ethanediyl), .alpha.-[bis(1-methylpropyl)phenyl]-.omega.-hydroxy-"
DTXSID301012958,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-[methylenebis[4-(1,1,3,3-tetramethylbutyl)-2,1-phenylene]]bis[.omega.-hydroxy-"
DTXSID8098819,"Fatty acids, montan-wax, ethoxylated"
DTXSID8041585,C12-15 ethoxylated propoxylated alcohols
DTXSID50221066,"23-Hydroxy-3,6,9,12,15,18,21-heptaoxatricos-1-yl octadecanoate"
DTXSID30175472,Pentacosan-13-one
DTXSID2027701,"Pentaerythritol, stearate"
DTXSID4021979,"2,4-Pentanedione"
DTXSID7025849,1-Pentene
DTXSID3051599,Trifluoro(trifluoromethoxy)ethylene
DTXSID60865157,"Benzene, 1-(1-(difluoro((1,2,2-trifluoroethenyl)oxy)methyl)-1,2,2,2-tetrafluoroethoxy)-2,3,4,5,6-pentafluoro-"
DTXSID0061826,Perfluoro(propyl vinyl ether)
DTXSID40880383,"Propane, 1,1,1,2,2,3,3-heptafluoro-3-[(trifluoroethenyl)oxy]-, polymer with tetrafluoroethene"
DTXSID2028191,Petroleum resins
DTXSID5028083,"Sulfonic acids, petroleum"
DTXSID9028255,"Hydrocarbon waxes, petroleum, oxidized"
DTXSID5021126,Phenothiazine
DTXSID3028477,"Benzenamine, N-phenyl-, reaction products with 2,4,4-trimethylpentene"
DTXSID6025698,"7-(2H-Naphtho[1,2-d]triazol-2-yl)-3-phenylcoumarin"
DTXSID10617421,"3-Methyl[1,1'-biphenyl]-4-ol"
DTXSID201009867,(1-Phenylethyl)phenol
DTXSID7021152,4-Phenylphenol
DTXSID20181643,"1,4-Benzenediamine, N-(2-methylphenyl)-N'-phenyl-"
DTXSID0024260,Phosgene
DTXSID30105118,"Amines, C11-14-branched alkyl, monohexyl and dihexyl phosphates"
DTXSID9047754,Phosphorus pentoxide
DTXSID5029687,Phosphorous trichloride
DTXSID20863750,C.I. Pigment Red 38
DTXSID90883288,"1-Piperidinecarbodithioic acid, compd. with piperidine (1:1)"
DTXSID801001435,"N'-(3,4-Dichlorophenyl)-N,N-dimethylcarbamimidic acid--5-bromo-3-(butan-2-yl)-2-hydroxy-6-methylpyrimidin-4(3H)-one (1/1)"
DTXSID001009104,Propan-2-one--N-phenylaniline (1/1)
DTXSID901011277,"Formaldehyde, polymer with N-phenylbenzenamine and 2-propanone"
DTXSID0094657,"2-Propanone, polymer with N-phenyl-2-naphthalenamine"
DTXSID601012076,"Butanedioic acid, 2-methylene-, polymer with 1,3-butadiene, ethenylbenzene and 2-propenamide"
DTXSID3094672,"2-Propen-1-aminium, N,N-dimethyl-N-2-propen-1-yl-, chloride (1:1), polymer with ethanedial and 2-propenamide"
DTXSID60995882,"N,N-Dimethyl-N-(prop-2-en-1-yl)prop-2-en-1-aminium potassium prop-2-enimidate prop-2-enoate--hydrogen chloride (1/1/1/1/1)"
DTXSID6094275,"2-Propenamide, polymer with chloroethene and ethene"
DTXSID2094132,"2-Propenoic acid, polymer with 1,1-dichloroethene and 2-propenenitrile"
DTXSID601011280,"2-Propenoic acid, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID901011641,"2-Propenoic acid, polymer with butyl 2-propenoate and (1-methylethenyl)benzene"
DTXSID901012899,"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with butyl 2-propenoate, ethenylbenzene and 2-propenoic acid"
DTXSID3094252,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate and 2-propenoic acid"
DTXSID001012692,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene and 2-propenoic acid"
DTXSID60895131,"2-Propenoic acid, polymer with butyl 2-propenoate and ethenylbenzene"
DTXSID9094088,"2-Propenoic acid, polymer with butyl 2-propenoate and ethenyl acetate"
DTXSID801011448,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with 2-propenoic acid"
DTXSID701012150,"2-Butenedioic acid (2Z)-, 1,4-dibutyl ester, polymer with ethenyl acetate and 2-propenoic acid"
DTXSID201012181,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate and 2-propenoic acid"
DTXSID801011381,"2-Propenoic acid, polymer with ethenylbenzene and ethyl 2-propenoate"
DTXSID90891989,Ethylene/acrylic acid copolymer
DTXSID4094118,"2-Propenoic acid, polymer with ethene, ammonium salt"
DTXSID201009536,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene, 2-ethylhexyl 2-propenoate and 2-propenoic acid"
DTXSID101011542,"2-Propenoic acid, polymer with ethenylbenzene and 2-ethylhexyl 2-propenoate"
DTXSID7094187,"2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid"
DTXSID0094231,"2-Propenoic acid, polymer with 1,1-dichloroethene and methyl 2-propenoate"
DTXSID1052799,"2-Propenoic acid, polymer with ethenylbenzene"
DTXSID401011084,"2-Propenoic acid, polymer with ethenyl acetate"
DTXSID30895082,"1,3-Butadiene, polymer with 2-propenenitrile"
DTXSID601011585,"2-Propenoic acid, 2-methyl-, polymer with 1,3-butadiene and 2-propenenitrile"
DTXSID3094254,"2-Propenoic acid, butyl ester, polymer with 1,1-dichloroethene and 2-propenenitrile"
DTXSID0094073,"Butanedioic acid, 2-methylene-, polymer with 1,1-dichloroethene and 2-propenenitrile"
DTXSID3094046,"2-Propenoic acid, methyl ester, polymer with 2-propenenitrile"
DTXSID801011474,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-propenenitrile"
DTXSID50895140,Acrylonitrile styrene polymer
DTXSID901011065,"2-Propenenitrile, polymer with chloroethene"
DTXSID201011119,"2-Propenenitrile, polymer with 1,1-dichloroethene"
DTXSID401011072,"Hexanedioic acid, polymer with 1,3-butanediol"
DTXSID501012285,"Hexanedioic acid, polymer with 1,4-butanediol, 2,4-diisocyanato-1-methylbenzene and 1,2-ethanediol"
DTXSID501009692,"Hexanedioic acid, polymer with N1-(2-aminoethyl)-1,2-ethanediamine"
DTXSID401009594,"Hexanedioic acid, polymer with N1-(2-aminoethyl)-1,2-ethanediamine and 2-(chloromethyl)oxirane"
DTXSID1094850,"1,3-Benzenedicarboxylic acid, polymer with hexanedioic acid and 1,6-hexanediol"
DTXSID5094652,"Hexanedioic acid, polymer with 2,2-bis(hydroxymethyl)-1,3-propanediol and (9Z)-9-octadecenoic acid"
DTXSID301011843,"Hexanedioic acid, polymer with 2,2-bis(hydroxymethyl)-1,3-propanediol, octadecanoate"
DTXSID6094439,"Hexanedioic acid, polymer with 2-(hydroxymethyl)-2-methyl-1,3-propanediol"
DTXSID70950088,"2-Propenoic acid, 2-methyl-, polymer with octadecyl 2-methyl-2-propenoate"
DTXSID2094057,"Benzene, (1-methylethenyl)-, homopolymer"
DTXSID101011578,"Benzene, ethenylmethyl-, polymer with (1-methylethenyl)benzene, hydrogenated"
DTXSID501011168,"Bicyclo[3.1.1]hept-2-ene, 2,6,6-trimethyl-, homopolymer"
DTXSID6097075,"Fatty acids, C18-unsatd., dimers, polymers with azelaic acid, ethylenediamine and piperazine"
DTXSID20109004,Polyamide fibers
DTXSID3095305,"2-Propenoic acid, 2-aminoethyl ester, nitrate (1:1), polymer with 2-hydroxypropyl 2-propenoate"
DTXSID601009752,"Butanal, polymer with benzenamine"
DTXSID601009102,Heptanal--aniline (1/1)
DTXSID6094518,"Nonanedioic acid, polymer with 2,2-dimethyl-1,3-propanediol"
DTXSID20991082,"Nonanedioic acid--3,3'-oxydi(propan-1-ol) (1/1)"
DTXSID5094317,"Nonanedioic acid, polymer with 1,2-ethanediol"
DTXSID3094258,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 1,2-ethanediol and nonanedioic acid"
DTXSID0094156,"1,4-Benzenedicarboxylic acid, polymer with 1,2-ethanediol and nonanedioic acid"
DTXSID60956771,1-Benzofuran--1H-indene (1/1)
DTXSID9094240,"Formaldehyde, polymer with 6-phenyl-1,3,5-triazine-2,4-diamine"
DTXSID3049627,"Formaldehyde, polymer with bisphenol A"
DTXSID6027840,Bisphenol A carbonate polymer
DTXSID00948014,"4,4'-(Propane-2,2-diyl)diphenol--1,1'-sulfonylbis(4-chlorobenzene) (1/1)"
DTXSID801010945,"1,3-Butadiene, homopolymer"
DTXSID20895076,"Benzene, 1,3-diethenyl-, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID301012596,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, ethenylbenzene and ethyl 2-propenoate"
DTXSID601011597,"Butanedioic acid, 2-methylene-, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID9094379,"2,5-Furandione, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID7094131,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene"
DTXSID901009620,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID6094300,"2-Propenamide, N-(hydroxymethyl)-, polymer with 1,3-butadiene and ethenylbenzene"
DTXSID1094694,"Benzene, 1-ethenyl-4-methyl-, polymer with 1,3-butadiene"
DTXSID00904731,Polybutylene
DTXSID701011057,"1-Hexene, polymer with 1-butene and ethene"
DTXSID101011061,"1-Butene, polymer with ethene and 1-propene"
DTXSID0093891,"Butene, polymer with 2-methyl-1-propene"
DTXSID501010984,"1-Butene, polymer with 1-propene"
DTXSID601009738,"2-Propenoic acid, butyl ester, homopolymer"
DTXSID20891912,"Styrene, methyl methacrylate, butyl methacrylate, butyl acrylate, methacrylic acid polymer"
DTXSID2095495,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, 2-(dimethylamino)ethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate"
DTXSID90949212,Butyl prop-2-enoate--ethyl prop-2-enoate (1/1)
DTXSID4094401,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and 2-hydroxyethyl 2-methyl-2-propenoate"
DTXSID80920378,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and 1,2-propanediol mono(2-methyl-2-propenoate)"
DTXSID1094060,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and methyl 2-methyl-2-propenoate"
DTXSID80891913,"Butyl acrylate, methacrylic acid, methyl methacrylate, styrene polymer"
DTXSID1094064,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and ethenylbenzene"
DTXSID001012111,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate and ethenylbenzene"
DTXSID1094191,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate and chloroethene"
DTXSID101011209,"2-Propenoic acid, butyl ester, polymer with ethenylbenzene"
DTXSID5094074,"2-Propenoic acid, butyl ester, polymer with ethenyl acetate"
DTXSID301009165,"2-Propenoic acid, butyl ester, polymer with 1,1-dichloroethene"
DTXSID101011073,"Hexanedioic acid, polymer with 1,4-butanediol"
DTXSID001010953,"Butene, polymer with ethene"
DTXSID601009526,"1,4-Butanediol, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) and 1,1'-methylenebis[isocyanatobenzene]"
DTXSID901013073,"1,4-Butanediol, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) and 1,1'-methylenebis[4-isocyanatobenzene]"
DTXSID401009613,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid and 1,4-butanediol"
DTXSID601012814,"1,4-Benzenedicarboxylic acid, polymer with 1,4-butanediol and .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl)"
